county_fips,county,state_id,state_name,lat,lng,utilities
06037,Los Angeles,CA,California,34.3209,-118.2247,Southern California Edison Co
17031,Cook,IL,Illinois,41.8401,-87.8168,Commonwealth Edison Co
48201,Harris,TX,Texas,29.8577,-95.3936,
04013,Maricopa,AZ,Arizona,33.349,-112.4915,Arizona Public Service Co
06073,San Diego,CA,California,33.0343,-116.735,SDG&E;San Diego Gas & Electric Co
06059,Orange,CA,California,33.7031,-117.7609,Southern California Edison Co
36047,Kings,NY,New York,40.6395,-73.9385,ConEdison;Consolidated Edison Co-NY Inc
12086,Miami-Dade,FL,Florida,25.615,-80.5623,Florida Power & Light Co.
48113,Dallas,TX,Texas,32.7666,-96.7778,
06065,Riverside,CA,California,33.7436,-115.9938,Imperial Irrigation District
36081,Queens,NY,New York,40.7023,-73.8203,ConEdison;Consolidated Edison Co-NY Inc
53033,King,WA,Washington,47.4902,-121.8052,Puget Sound Energy Inc
32003,Clark,NV,Nevada,36.2152,-115.0135,Nevada Power Co
06071,San Bernardino,CA,California,34.8414,-116.1784,Southern California Edison Co
48439,Tarrant,TX,Texas,32.7719,-97.2911,
48029,Bexar,TX,Texas,29.4489,-98.52,"City of San Antonio, Texas (Utility Company)"
12011,Broward,FL,Florida,26.1523,-80.4871,Florida Power & Light Co.
06085,Santa Clara,CA,California,37.2318,-121.6951,Pacific Gas & Electric Co
26163,Wayne,MI,Michigan,42.2819,-83.2822,DTE Electric;Detroit Edison Co
06001,Alameda,CA,California,37.6469,-121.8888,Pacific Gas & Electric Co
36061,New York,NY,New York,40.7785,-73.9674,ConEdison;Consolidated Edison Co-NY Inc
25017,Middlesex,MA,Massachusetts,42.4856,-71.3918,"Town of Concord, Massachusetts (Utility Company)"
42101,Philadelphia,PA,Pennsylvania,40.0077,-75.1339,PECO Energy Co
06067,Sacramento,CA,California,38.4493,-121.3443,Sacramento Municipal Utility District
36103,Suffolk,NY,New York,40.8686,-72.8448,Long Island Power Authority
12099,Palm Beach,FL,Florida,26.6476,-80.4655,Florida Power & Light Co.
36005,Bronx,NY,New York,40.8501,-73.866,ConEdison;Consolidated Edison Co-NY Inc
12057,Hillsborough,FL,Florida,27.9291,-82.3091,Tampa Electric Co
12095,Orange,FL,Florida,28.5145,-81.3236,Progress Energy Florida Inc
36059,Nassau,NY,New York,40.7328,-73.5865,Long Island Power Authority
39049,Franklin,OH,Ohio,39.9695,-83.0093,"City of Columbus, Ohio (Utility Company)"
26125,Oakland,MI,Michigan,42.6604,-83.3858,DTE Electric;Detroit Edison Co
27053,Hennepin,MN,Minnesota,45.0045,-93.477,Northern States Power Co - Minnesota;Northern States Power Co - Minnesota (North Dakota);Northern States Power Co - Minnesota (South Dakota)
48453,Travis,TX,Texas,30.3344,-97.782,Austin Energy
39035,Cuyahoga,OH,Ohio,41.4243,-81.6586,Cleveland Electric Illum Co
42003,Allegheny,PA,Pennsylvania,40.4688,-79.9812,Duquesne Light Co
49035,Salt Lake,UT,Utah,40.6673,-111.9236,PacifiCorp;PacifiCorp (Idaho);PacifiCorp (Oregon);PacifiCorp (Utah);PacifiCorp (Washington);PacifiCorp (Wyoming)
06013,Contra Costa,CA,California,37.9192,-121.9277,Pacific Gas & Electric Co
51059,Fairfax,VA,Virginia,38.8368,-77.277,Virginia Electric & Power Co;Virginia Electric & Power Co (North Carolina)
37183,Wake,NC,North Carolina,35.7903,-78.6503,"Duke Energy Carolinas, LLC;Duke Energy Carolinas, LLC (South Carolina);Progress Energy Carolinas Inc;Progress Energy Carolinas Inc (South Carolina)"
37119,Mecklenburg,NC,North Carolina,35.2467,-80.8328,"Duke Energy Carolinas, LLC;Duke Energy Carolinas, LLC (South Carolina);Progress Energy Carolinas Inc;Progress Energy Carolinas Inc (South Carolina)"
24031,Montgomery,MD,Maryland,39.1363,-77.2042,Potomac Electric Power Co;Potomac Electric Power Co (Maryland)
13121,Fulton,GA,Georgia,33.7903,-84.467,Georgia Power Co
48085,Collin,TX,Texas,33.188,-96.5724,"Grayson-Collin Elec Coop, Inc"
04019,Pima,AZ,Arizona,32.0974,-111.7899,Tohono O'Odham Utility Auth
15003,Honolulu,HI,Hawaii,21.5008,-158.1053,Hawaiian Electric Co Inc
06019,Fresno,CA,California,36.7582,-119.6493,Pacific Gas & Electric Co
29189,St. Louis,MO,Missouri,38.6407,-90.4434,Union Electric Co
36119,Westchester,NY,New York,41.1624,-73.7561,ConEdison;Consolidated Edison Co-NY Inc
12031,Duval,FL,Florida,30.3316,-81.6708,Jacksonville Electric Authority
18097,Marion,IN,Indiana,39.7817,-86.1385,Indianapolis Power & Light Co
12103,Pinellas,FL,Florida,27.92,-82.7256,Progress Energy Florida Inc
24033,Prince George's,MD,Maryland,38.8295,-76.8473,Potomac Electric Power Co;Potomac Electric Power Co (Maryland)
09001,Fairfield,CT,Connecticut,41.271,-73.3893,Connecticut Light & Power Co
34003,Bergen,NJ,New Jersey,40.9597,-74.0742,Public Service Elec & Gas Co
36029,Erie,NY,New York,42.764,-78.7323,New York State Elec & Gas Corp
13135,Gwinnett,GA,Georgia,33.9617,-84.0236,"City of Lawrenceville, Georgia (Utility Company)"
55079,Milwaukee,WI,Wisconsin,43.0072,-87.9669,Wisconsin Electric Power Co;Wisconsin Electric Power Co (Michigan)
17043,DuPage,IL,Illinois,41.852,-88.0856,Commonwealth Edison Co
47157,Shelby,TN,Tennessee,35.1842,-89.894,"City of Memphis, Tennessee (Utility Company);Entergy Arkansas Inc;Entergy Arkansas Inc (Arkansas);Tennessee Valley Authority (Mississippi)"
53053,Pierce,WA,Washington,47.0241,-122.1046,
06029,Kern,CA,California,35.3426,-118.7301,Pacific Gas & Electric Co
09003,Hartford,CT,Connecticut,41.8064,-72.7329,Connecticut Light & Power Co
48121,Denton,TX,Texas,33.2055,-97.1168,"City of Denton, Texas (Utility Company);Denton County Elec Coop, Inc"
26099,Macomb,MI,Michigan,42.6957,-82.9323,DTE Electric;Detroit Edison Co
06075,San Francisco,CA,California,37.7558,-122.4449,City & County of San Francisco (Utility Company)
48215,Hidalgo,TX,Texas,26.3969,-98.1812,
09009,New Haven,CT,Connecticut,41.4106,-72.9321,United Illuminating Co
48141,El Paso,TX,Texas,31.7686,-106.2348,El Paso Electric Co;El Paso Electric Co (New Mexico)
34023,Middlesex,NJ,New Jersey,40.4392,-74.4117,Public Service Elec & Gas Co
25027,Worcester,MA,Massachusetts,42.3514,-71.9077,"Town of Holden, Massachusetts (Utility Company)"
34013,Essex,NJ,New Jersey,40.7872,-74.247,Public Service Elec & Gas Co
42091,Montgomery,PA,Pennsylvania,40.2108,-75.3673,PECO Energy Co
24005,Baltimore,MD,Maryland,39.4627,-76.6393,Baltimore Gas & Electric Co
06111,Ventura,CA,California,34.4561,-119.0836,Southern California Edison Co
39061,Hamilton,OH,Ohio,39.1955,-84.5428,Duke Energy Ohio Inc
53061,Snohomish,WA,Washington,48.0475,-121.6975,Snohomish County PUD No 1
41051,Multnomah,OR,Oregon,45.5468,-122.4148,Portland General Electric Co
48157,Fort Bend,TX,Texas,29.5275,-95.7709,
25009,Essex,MA,Massachusetts,42.6732,-70.952,"Town of Ipswich, Massachusetts (Utility Company)"
25025,Suffolk,MA,Massachusetts,42.3333,-71.0719,NSTAR Electric Company
40109,Oklahoma,OK,Oklahoma,35.5515,-97.4072,Oklahoma Gas & Electric Co;Oklahoma Gas & Electric Co (Arkansas)
21111,Jefferson,KY,Kentucky,38.1872,-85.6591,Louisville Gas & Electric Co
06077,San Joaquin,CA,California,37.9348,-121.2714,Pacific Gas & Electric Co
13067,Cobb,GA,Georgia,33.9415,-84.5767,"City of Marietta, Georgia (Utility Company)"
06081,San Mateo,CA,California,37.4229,-122.329,Pacific Gas & Electric Co
13089,DeKalb,GA,Georgia,33.7715,-84.2264,Georgia Power Co
36055,Monroe,NY,New York,43.1464,-77.6961,Rochester Gas & Electric Corp
12071,Lee,FL,Florida,26.5779,-81.8337,Florida Power & Light Co.
08041,El Paso,CO,Colorado,38.8321,-104.5254,"Mountain View Elec Assn, Inc"
25021,Norfolk,MA,Massachusetts,42.1605,-71.2115,NSTAR Electric Company
17097,Lake,IL,Illinois,42.3233,-88.0037,Commonwealth Edison Co
34017,Hudson,NJ,New Jersey,40.7371,-74.0779,Public Service Elec & Gas Co
29095,Jackson,MO,Missouri,39.0085,-94.3461,Kansas City Power & Light Co;Kansas City Power & Light Co (Missouri)
12105,Polk,FL,Florida,27.9489,-81.6976,Tampa Electric Co
47037,Davidson,TN,Tennessee,36.1695,-86.7847,Nashville Electric Service;Tennessee Valley Authority (Mississippi)
08031,Denver,CO,Colorado,39.762,-104.8758,Public Service Co of Colorado
17197,Will,IL,Illinois,41.445,-87.9786,Commonwealth Edison Co
11001,District of Columbia,DC,District of Columbia,38.9047,-77.0163,Potomac Electric Power Co;Potomac Electric Power Co (Maryland)
35001,Bernalillo,NM,New Mexico,35.0514,-106.6702,Public Service Co of NM
01073,Jefferson,AL,Alabama,33.5543,-86.8964,Alabama Power Co;Tennessee Valley Authority (Mississippi)
40143,Tulsa,OK,Oklahoma,36.1211,-95.9415,Public Service Co of Oklahoma
44007,Providence,RI,Rhode Island,41.8721,-71.58,The Narragansett Electric Co
26081,Kent,MI,Michigan,43.0322,-85.5493,Consumers Energy Co
08005,Arapahoe,CO,Colorado,39.6498,-104.3393,Intermountain Rural Elec Assn
49049,Utah,UT,Utah,40.1199,-111.6703,South Utah Valley Electric Service District
42017,Bucks,PA,Pennsylvania,40.337,-75.1069,PECO Energy Co
34025,Monmouth,NJ,New Jersey,40.2603,-74.2213,Jersey Central Power & Lt Co (New Jersey)
34029,Ocean,NJ,New Jersey,39.8855,-74.2813,Jersey Central Power & Lt Co (New Jersey)
48339,Montgomery,TX,Texas,30.3002,-95.503,Entergy Texas Inc.;Mid-South Electric Coop Assn
20091,Johnson,KS,Kansas,38.8838,-94.8223,Westar Energy Inc
12009,Brevard,FL,Florida,28.2937,-80.7323,Florida Power & Light Co.
41067,Washington,OR,Oregon,45.56,-123.0984,"City of Forest Grove, Oregon (Utility Company)"
24510,Baltimore,MD,Maryland,39.3051,-76.6144,Baltimore Gas & Electric Co
48491,Williamson,TX,Texas,30.6475,-97.6004,"Bartlett Electric Coop, Inc"
24003,Anne Arundel,MD,Maryland,39.0065,-76.6051,Baltimore Gas & Electric Co
08059,Jefferson,CO,Colorado,39.5864,-105.2505,Public Service Co of Colorado
31055,Douglas,NE,Nebraska,41.2953,-96.1543,Nebraska Public Power District
25005,Bristol,MA,Massachusetts,41.7972,-71.1144,"City of Taunton, Massachusetts (Utility Company)"
42045,Delaware,PA,Pennsylvania,39.9167,-75.3991,PECO Energy Co
34039,Union,NJ,New Jersey,40.6601,-74.3087,Public Service Elec & Gas Co
10003,New Castle,DE,Delaware,39.5768,-75.6527,Delmarva Power;Delmarva Power (Maryland)
55025,Dane,WI,Wisconsin,43.0673,-89.4181,Madison Gas & Electric Co
12101,Pasco,FL,Florida,28.3091,-82.3932,Withlacoochee River Elec Coop
06099,Stanislaus,CA,California,37.5591,-120.9977,Turlock Irrigation District
42071,Lancaster,PA,Pennsylvania,40.0424,-76.2477,PPL Electric Utilities Corp
27123,Ramsey,MN,Minnesota,45.0171,-93.0996,Northern States Power Co - Minnesota;Northern States Power Co - Minnesota (North Dakota);Northern States Power Co - Minnesota (South Dakota)
12127,Volusia,FL,Florida,29.0584,-81.1819,Florida Power & Light Co.
39153,Summit,OH,Ohio,41.126,-81.5322,
37081,Guilford,NC,North Carolina,36.0795,-79.7889,"Duke Energy Carolinas, LLC;Duke Energy Carolinas, LLC (South Carolina);Progress Energy Carolinas Inc;Progress Energy Carolinas Inc (South Carolina)"
39113,Montgomery,OH,Ohio,39.7547,-84.2907,Dayton Power & Light Co
42029,Chester,PA,Pennsylvania,39.9731,-75.7484,PECO Energy Co
53063,Spokane,WA,Washington,47.6207,-117.404,
25023,Plymouth,MA,Massachusetts,41.9512,-70.8114,NSTAR Electric Company
34007,Camden,NJ,New Jersey,39.8035,-74.9597,Atlantic City Electric Co
34031,Passaic,NJ,New Jersey,41.0343,-74.3008,Jersey Central Power & Lt Co (New Jersey)
20173,Sedgwick,KS,Kansas,37.6848,-97.461,
45045,Greenville,SC,South Carolina,34.8941,-82.3706,"Duke Energy Carolinas, LLC;Duke Energy Carolinas, LLC (South Carolina);Progress Energy Carolinas Inc;Progress Energy Carolinas Inc (South Carolina)"
17089,Kane,IL,Illinois,41.9388,-88.4286,Commonwealth Edison Co
08001,Adams,CO,Colorado,39.8736,-104.3379,Intermountain Rural Elec Assn
34027,Morris,NJ,New Jersey,40.862,-74.5445,Jersey Central Power & Lt Co (New Jersey)
53011,Clark,WA,Washington,45.7792,-122.4825,PUD No 1 of Clark County
18089,Lake,IN,Indiana,41.4167,-87.3821,Northern Indiana Pub Serv Co
36085,Richmond,NY,New York,40.5808,-74.1524,ConEdison;Consolidated Edison Co-NY Inc
06097,Sonoma,CA,California,38.5289,-122.8881,Pacific Gas & Electric Co
19153,Polk,IA,Iowa,41.6854,-93.5734,MidAmerican Energy Co;MidAmerican Energy Co (Illinois);MidAmerican Energy Co (South Dakota)
16001,Ada,ID,Idaho,43.4511,-116.2412,Idaho Power Co;Idaho Power Co (Oregon)
32031,Washoe,NV,Nevada,40.6655,-119.6643,
51153,Prince William,VA,Virginia,38.7029,-77.4809,Virginia Electric & Power Co;Virginia Electric & Power Co (North Carolina)
47093,Knox,TN,Tennessee,35.9932,-83.9371,Tennessee Valley Authority (Mississippi)
36067,Onondaga,NY,New York,43.0058,-76.1946,Niagara Mohawk Power Corp.
06107,Tulare,CA,California,36.2202,-118.8005,Southern California Edison Co
12117,Seminole,FL,Florida,28.717,-81.2363,Florida Power & Light Co.
25013,Hampden,MA,Massachusetts,42.1351,-72.6316,Western Massachusetts Elec Co
34005,Burlington,NJ,New Jersey,39.8777,-74.6681,Jersey Central Power & Lt Co (New Jersey)
51810,Virginia Beach,VA,Virginia,36.7335,-76.0435,Virginia Electric & Power Co;Virginia Electric & Power Co (North Carolina)
22033,East Baton Rouge,LA,Louisiana,30.5383,-91.0956,Dixie Electric Membership Corp
42133,York,PA,Pennsylvania,39.92,-76.7265,Metropolitan Edison Co (Pennsylvania)
06095,Solano,CA,California,38.27,-121.9329,Pacific Gas & Electric Co
06083,Santa Barbara,CA,California,34.6729,-120.0169,Pacific Gas & Electric Co
22051,Jefferson,LA,Louisiana,29.7872,-90.1274,Entergy Louisiana Inc
06053,Monterey,CA,California,36.2171,-121.2388,Pacific Gas & Electric Co
27037,Dakota,MN,Minnesota,44.6719,-93.0654,Northern States Power Co - Minnesota;Northern States Power Co - Minnesota (North Dakota);Northern States Power Co - Minnesota (South Dakota)
39095,Lucas,OH,Ohio,41.6197,-83.6588,The Toledo Edison Co
12115,Sarasota,FL,Florida,27.1845,-82.3315,"Lee County Electric Coop, Inc"
42011,Berks,PA,Pennsylvania,40.4163,-75.926,Metropolitan Edison Co (Pennsylvania)
04021,Pinal,AZ,Arizona,32.9044,-111.3448,
48061,Cameron,TX,Texas,26.1333,-97.5182,
33011,Hillsborough,NH,New Hampshire,42.9153,-71.7161,Public Service Co of NH
41005,Clackamas,OR,Oregon,45.188,-122.2209,Portland General Electric Co
45079,Richland,SC,South Carolina,34.0218,-80.9031,South Carolina Electric&Gas Co
01097,Mobile,AL,Alabama,30.7872,-88.2058,Alabama Power Co
51107,Loudoun,VA,Virginia,39.0907,-77.6357,Northern Virginia Elec Coop
26049,Genesee,MI,Michigan,43.0217,-83.7067,Consumers Energy Co
55133,Waukesha,WI,Wisconsin,43.0182,-88.3045,Wisconsin Electric Power Co;Wisconsin Electric Power Co (Michigan)
45019,Charleston,SC,South Carolina,32.8346,-79.9531,South Carolina Electric&Gas Co
29183,St. Charles,MO,Missouri,38.782,-90.6749,Cuivre River Electric Coop Inc;Union Electric Co
06061,Placer,CA,California,39.0634,-120.7177,Pacific Gas & Electric Co
36071,Orange,NY,New York,41.4022,-74.3056,Orange & Rockland Utils Inc
05119,Pulaski,AR,Arkansas,34.77,-92.312,Entergy Arkansas Inc;Entergy Arkansas Inc (Arkansas)
12081,Manatee,FL,Florida,27.4719,-82.3153,"Peace River Electric Coop, Inc"
39017,Butler,OH,Ohio,39.4386,-84.5756,Duke Energy Ohio Inc
34021,Mercer,NJ,New Jersey,40.2834,-74.7018,Public Service Elec & Gas Co
22071,Orleans,LA,Louisiana,30.0687,-89.9288,Entergy Louisiana Inc
01089,Madison,AL,Alabama,34.7631,-86.5502,"City of Huntsville, Alabama (Utility Company);Tennessee Valley Authority (Mississippi)"
18003,Allen,IN,Indiana,41.0909,-85.0666,Indiana Michigan Power Co (Indiana);Indiana Michigan Power Co (Michigan)
37067,Forsyth,NC,North Carolina,36.1306,-80.2563,"Duke Energy Carolinas, LLC;Duke Energy Carolinas, LLC (South Carolina);Progress Energy Carolinas Inc;Progress Energy Carolinas Inc (South Carolina)"
41039,Lane,OR,Oregon,43.9386,-122.848,"City of Eugene, Oregon (Utility Company)"
12097,Osceola,FL,Florida,28.0627,-81.1494,Progress Energy Florida Inc
12069,Lake,FL,Florida,28.7615,-81.7113,"Sumter Electric Coop, Inc"
39151,Stark,OH,Ohio,40.8139,-81.3656,Ohio Power Co
12021,Collier,FL,Florida,26.1108,-81.3475,"Lee County Electric Coop, Inc"
42077,Lehigh,PA,Pennsylvania,40.6127,-75.5923,PPL Electric Utilities Corp
26161,Washtenaw,MI,Michigan,42.2532,-83.8388,DTE Electric;Detroit Edison Co
12083,Marion,FL,Florida,29.2102,-82.0567,Progress Energy Florida Inc
48039,Brazoria,TX,Texas,29.1897,-95.4521,Texas-New Mexico Power Co
48027,Bell,TX,Texas,31.0373,-97.4788,"Bartlett Electric Coop, Inc;Heart of Texas Electric Coop"
47065,Hamilton,TN,Tennessee,35.1808,-85.1648,"City of Chattanooga, Georgia (Utility Company);City of Chattanooga, Tennessee (Utility Company);Tennessee Valley Authority (Mississippi)"
27003,Anoka,MN,Minnesota,45.2733,-93.2465,Connexus Energy
51041,Chesterfield,VA,Virginia,37.3785,-77.587,Virginia Electric & Power Co;Virginia Electric & Power Co (North Carolina)
49011,Davis,UT,Utah,40.99,-112.1115,PacifiCorp;PacifiCorp (Idaho);PacifiCorp (Oregon);PacifiCorp (Utah);PacifiCorp (Washington);PacifiCorp (Wyoming)
42129,Westmoreland,PA,Pennsylvania,40.3109,-79.4668,West Penn Power Co
08069,Larimer,CO,Colorado,40.6664,-105.4612,"Poudre Valley R E A, Inc"
48355,Nueces,TX,Texas,27.7254,-97.6134,
08035,Douglas,CO,Colorado,39.3297,-104.9296,Intermountain Rural Elec Assn
48167,Galveston,TX,Texas,29.3945,-94.9635,Texas-New Mexico Power Co
45051,Horry,SC,South Carolina,33.9214,-78.9966,Horry Electric Coop Inc
41047,Marion,OR,Oregon,44.9033,-122.5845,Portland General Electric Co
34035,Somerset,NJ,New Jersey,40.5635,-74.6163,Public Service Elec & Gas Co
18057,Hamilton,IN,Indiana,40.0725,-86.052,Duke Energy Indiana Inc
36087,Rockland,NY,New York,41.1525,-74.0242,Orange & Rockland Utils Inc
47149,Rutherford,TN,Tennessee,35.8427,-86.4168,Middle Tennessee E M C;Tennessee Valley Authority (Mississippi)
37051,Cumberland,NC,North Carolina,35.0487,-78.8277,
