county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,FIPs,climate_zone,matched_station_fip,distance
Los Angeles,Los Angeles,Los Angeles County,6037,CA,California,34.3209,-118.2247,10019635,G0600370,3B,G0600370,12.39388875
Cook,Cook,Cook County,17031,IL,Illinois,41.8401,-87.8168,5265398,G1700310,5A,G1701970,25.68060311
Harris,Harris,Harris County,48201,TX,Texas,29.8577,-95.3936,4697957,G4802010,2A,G4802010,8.118090315
Maricopa,Maricopa,Maricopa County,4013,AZ,Arizona,33.349,-112.4915,4367186,G0400130,2B,G0400130,8.856736126
San Diego,San Diego,San Diego County,6073,CA,California,33.0343,-116.735,3296317,G0600730,3B,G0600730,12.45437515
Orange,Orange,Orange County,6059,CA,California,33.7031,-117.7609,3182923,G0600590,3B,G0600590,7.751817164
Kings,Kings,Kings County,36047,NY,New York,40.6395,-73.9385,2712360,G3600470,4A,G3600610,6.470941887
Miami-Dade,Miami-Dade,Miami-Dade County,12086,FL,Florida,25.615,-80.5623,2690113,G1200860,1A,G1200860,9.230023239
Dallas,Dallas,Dallas County,48113,TX,Texas,32.7666,-96.7778,2604722,G4801130,3A,G4804390,19.19795932
Riverside,Riverside,Riverside County,6065,CA,California,33.7436,-115.9938,2409331,G0600650,3B,G0600650,13.98594895
Queens,Queens,Queens County,36081,NY,New York,40.7023,-73.8203,2393104,G3600810,4A,G3600810,4.429992808
King,King,King County,53033,WA,Washington,47.4902,-121.8052,2240876,G5300330,4C,G5300330,28.27629565
Clark,Clark,Clark County,32003,NV,Nevada,36.2152,-115.0135,2231147,G3200030,3B,G3200030,2.759155053
San Bernardino,San Bernardino,San Bernardino County,6071,CA,California,34.8414,-116.1784,2171071,G0600710,3B,G0600710,37.45553012
Tarrant,Tarrant,Tarrant County,48439,TX,Texas,32.7719,-97.2911,2091953,G4804390,3A,G4804390,5.832030057
Bexar,Bexar,Bexar County,48029,TX,Texas,29.4489,-98.52,1990522,G4800290,2A,G4800290,6.305931423
Broward,Broward,Broward County,12011,FL,Florida,26.1523,-80.4871,1934551,G1200110,1A,G1200110,20.49061263
Santa Clara,Santa Clara,Santa Clara County,6085,CA,California,37.2318,-121.6951,1932022,G0600850,3C,G0600850,10.95840594
Wayne,Wayne,Wayne County,26163,MI,Michigan,42.2819,-83.2822,1789781,G2601630,5A,G2601630,4.878309716
Alameda,Alameda,Alameda County,6001,CA,California,37.6469,-121.8888,1673133,G0600010,3C,G0600010,6.176788082
New York,New York,New York County,36061,NY,New York,40.7785,-73.9674,1669127,G3600610,4A,G3600610,0.125362928
Middlesex,Middlesex,Middlesex County,25017,MA,Massachusetts,42.4856,-71.3918,1623411,G2500170,5A,G2500170,7.615982553
Philadelphia,Philadelphia,Philadelphia County,42101,PA,Pennsylvania,40.0077,-75.1339,1596865,G4201010,4A,G4201010,9.933387229
Sacramento,Sacramento,Sacramento County,6067,CA,California,38.4493,-121.3443,1571767,G0600670,3B,G0600670,8.009626529
Suffolk,Suffolk,Suffolk County,36103,NY,New York,40.8686,-72.8448,1522998,G3601030,4A,G3601030,3.885336612
Palm Beach,Palm Beach,Palm Beach County,12099,FL,Florida,26.6476,-80.4655,1481233,G1200990,2A,G1200110,36.98302652
Bronx,Bronx,Bronx County,36005,NY,New York,40.8501,-73.866,1468262,G3600050,4A,G3600810,5.012231634
Hillsborough,Hillsborough,Hillsborough County,12057,FL,Florida,27.9291,-82.3091,1444359,G1200570,2A,G1201030,24.80652072
Orange,Orange,Orange County,12095,FL,Florida,28.5145,-81.3236,1409949,G1200950,2A,G1200950,2.540063815
Nassau,Nassau,Nassau County,36059,NY,New York,40.7328,-73.5865,1391678,G3600590,4A,G3601030,11.72416781
Franklin,Franklin,Franklin County,39049,OH,Ohio,39.9695,-83.0093,1313598,G3900490,5A,G3900450,28.49306792
Oakland,Oakland,Oakland County,26125,MI,Michigan,42.6604,-83.3858,1271983,G2601250,5A,G2601250,2.205778587
